You are now connected to database "nc_news_test" as user "wayne-senior".
 comment_id | votes |     created_at      |    author     |                                                                                         body                                                                                         | article_id 
------------+-------+---------------------+---------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------
         15 |     1 | 2020-11-24 00:08:00 | butter_bridge | I am 100% sure that we're not completely sure.                                                                                                                                       |          5
          5 |     0 | 2020-11-03 21:00:00 | icellusedkars | I hate streaming noses                                                                                                                                                               |          1
          2 |    14 | 2020-10-31 03:03:00 | butter_bridge | The beautiful thing about treasure is that it exists. Got to find out what kind of sheets these are; not cotton, not rayon, silky.                                                   |          1
         16 |     1 | 2020-10-11 16:23:00 | butter_bridge | This is a bad article name                                                                                                                                                           |          6
         11 |     0 | 2020-09-20 00:10:00 | icellusedkars | Ambidextrous marsupial                                                                                                                                                               |          3
         18 |    16 | 2020-07-21 01:20:00 | butter_bridge | This morning, I showered for nine minutes.                                                                                                                                           |          1
         10 |     0 | 2020-06-20 08:24:00 | icellusedkars | git push origin master                                                                                                                                                               |          3
         13 |     0 | 2020-06-15 11:25:00 | icellusedkars | Fruit pastilles                                                                                                                                                                      |          1
         14 |    16 | 2020-06-09 06:00:00 | icellusedkars | What do you see? I have no idea where this will lead us. This place I speak of, is known as the Black Lodge.                                                                         |          5
          7 |     0 | 2020-05-15 21:19:00 | icellusedkars | Lobster pot                                                                                                                                                                          |          1
          8 |     0 | 2020-04-14 21:19:00 | icellusedkars | Delicious crackerbreads                                                                                                                                                              |          1
          6 |     0 | 2020-04-11 22:02:00 | icellusedkars | I hate streaming eyes even more                                                                                                                                                      |          1
          1 |    16 | 2020-04-06 13:17:00 | butter_bridge | Oh, I've got compassion running out of my nose, pal! I'm the Sultan of Sentiment!                                                                                                    |          9
         17 |    20 | 2020-03-14 17:02:00 | icellusedkars | The owls are not what they seem.                                                                                                                                                     |          9
         12 |     0 | 2020-03-02 07:10:00 | icellusedkars | Massive intercranial brain haemorrhage                                                                                                                                               |          1
          3 |   100 | 2020-03-01 01:13:00 | icellusedkars | Replacing the quiet elegance of the dark suit and tie with the casual indifference of these muted earth tones is a form of fashion suicide, but, uh, call me crazy — onyou it works. |          1
          4 |  -100 | 2020-02-23 12:01:00 | icellusedkars |  I carry a log — yes. Is it funny to you? It is not to me.                                                                                                                           |          1
          9 |     0 | 2020-01-01 03:08:00 | icellusedkars | Superficially charming                                                                                                                                                               |          1
(18 rows)

